Tue Apr 15 10:31:42 2025    cprofile_batch_density.prof

         816132 function calls (811346 primitive calls) in 2429.746 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      598    0.001    0.000    0.001    0.000 {method 'fileno' of '_io.BufferedReader' objects}
      598    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
        9    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
      373    0.000    0.000    0.000    0.000 threading.py:359(notify)
        1    0.000    0.000    0.000    0.000 random.py:119(__init__)
        1    0.000    0.000    0.000    0.000 random.py:128(seed)
       14    0.000    0.000    0.000    0.000 queues.py:348(close)
      602    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      598    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f8aafe2f490}
      598    0.000    0.000    0.000    0.000 contextlib.py:530(__enter__)
       14    0.000    0.000    0.000    0.000 queues.py:71(_reset)
      600    0.000    0.000    0.000    0.000 std.py:163(colour)
       84    0.000    0.000    0.000    0.000 weakref.py:106(remove)
     1344    0.000    0.000    0.000    0.000 util.py:44(sub_debug)
     1372    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
      761    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       14    0.000    0.000    0.000    0.000 utils.py:1151(drop_metadata)
       28    0.000    0.000    0.000    0.000 connection.py:173(close)
       84    0.000    0.000    0.000    0.000 connection.py:117(__init__)
       14    0.000    0.000    0.000    0.000 threading.py:800(_maintain_shutdown_locks)
       14    0.000    0.000    0.000    0.000 weakref.py:428(__setitem__)
      401    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
       85    0.000    0.000    0.000    0.000 weakref.py:348(__new__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       56    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      388    0.000    0.000    0.000    0.000 threading.py:279(_is_owned)
      189    0.000    0.000    0.000    0.000 {method '_release_save' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 std.py:1265(close)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       28    0.000    0.000    0.000    0.000 connection.py:360(_close)
       85    0.000    0.000    0.000    0.000 weakref.py:353(__init__)
      373    0.000    0.000    0.000    0.000 threading.py:90(RLock)
      373    0.000    0.000    0.000    0.000 queue.py:213(_put)
       14    0.000    0.000    0.000    0.000 weakref.py:370(remove)
      387    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      387    0.000    0.000    0.000    0.000 connection.py:134(_check_closed)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
       15    0.000    0.000    0.000    0.000 threading.py:782(_newname)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
      373    0.000    0.000    0.000    0.000 process.py:141(__init__)
       71    0.000    0.000    0.000    0.000 synchronize.py:90(_make_methods)
       15    0.000    0.000    0.000    0.000 threading.py:1301(_make_invoke_excepthook)
      568    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:391(cached)
       15    0.000    0.000    0.000    0.000 context.py:237(get_context)
        1    0.000    0.000    0.000    0.000 popen_fork.py:1(<module>)
